shot_number,title,aspect_ratio,variation,prompt
1,Starlight Dreams,16:9,Complex,"A Golden Age romance-drama movie teaser trailer. A poised Evelyn Starling from the poster comes to life, moving with subtle cinematic motion. They share a quick glance and half-smile with co-star Marcus Kane beneath a glowing marquee. The background swells with crowds, vintage 1950s cars, velvet ropes, and strobing camera flashes. The camera tracks laterally past chrome bumpers, then cranes up to the marquee. The mood is grand and celebratory. Text appears on screen: “The Golden Age Never Fades.” in classic Hollywood gold. Then the title “STARLIGHT DREAMS” sweeps on with shimmering particles. Add film grain, warm confetti-dust, soft projector flicker for a cinematic poster-come-to-life look."
2,Blood Streets,16:9,Complex,"A 1970s grindhouse action-thriller movie teaser trailer. A hard-bitten Rex Callahan from the poster comes to life, moving with subtle cinematic motion. They lean on a muscle car while Veronica Blaze flips a switchblade. The background glitters with broken glass, graffiti, and flickering neon. The camera low-tracks along the door, tilts up to faces, then whip-pans down the alley. The mood is dangerous and feverish. Text appears on screen: “In This City, Violence Has No Rules.” in oversized battered stencil. Then the title “BLOOD STREETS” crashes in with a red smear. Add oil smoke, dust motes, projector chatter, heavy grain."
3,Neon Horizon,16:9,Complex,"A neon sci-fi movie teaser trailer. A charging Kaelen Voss from the poster comes to life, moving with subtle cinematic motion. They rocket a light-bike across a vector highway as rival Lyra Korrin closes in. The background erupts with grid skyscrapers and electric trails. The camera parallel-tracks at high speed with time-ramp pulses. The mood is kinetic and sleek. Text appears on screen: “Racing Against Tomorrow.” in chrome italic with motion smear. Then the title “NEON HORIZON” streak-writes and locks with a surge. Add light trails, neon mist, scanline shimmer, spark bursts."
4,Dil Se Pyar,16:9,Complex,"A Bollywood romance-musical movie teaser trailer. A radiant Arjun Malhotra and Priya Devika from the poster come to life, moving with subtle cinematic motion. They dance before a palace as fireworks bloom and dancers fan out. The background glows with ornate flourishes and lantern garlands. The camera arcs around the couple to reveal choreography. The mood is opulent and joyous. Text appears on screen: “Love Beyond All Barriers.” in ornate marquee lettering. Then the title “DIL SE PYAR” ribbons across with sparkles. Add confetti, gold dust, warm haze, soft grain."
5,Fist of Destiny,16:9,Complex,"A martial-arts action movie teaser trailer. A focused Hiro Tanaka from the poster comes to life, moving with subtle cinematic motion. They clash with rival Wei Zhang in a lantern-lit temple courtyard. The background shows carved pillars and moonlit stone. The camera side-dollies with speed-ramp accents on impacts. The mood is classic and heroic. Text appears on screen: “One Fight, One Destiny.” in sumi-e brush type. Then the title “FIST OF DESTINY” slashes on with an ink swipe. Add embers, dust kicks, drum-hit shake, fine grain."
6,High Noon Revenge,16:9,Complex,"A spaghetti western movie teaser trailer. A unyielding Cole Maddox from the poster comes to life, moving with subtle cinematic motion. They face outlaw Silas Boone on a dusty main street as a tumbleweed rolls by. The background fades into heat-shimmered storefronts. The camera dollies from one gunslinger to the other, stopping center on the gap. The mood is taut and inevitable. Text: “Only One Will Walk Away.” in weathered slab serif. Title “HIGH NOON REVENGE” slams with a spur-jingle echo. Add dust clouds, sun flare, scratchy grain."
7,Midnight Alley,16:9,Complex,"A film-noir thriller movie teaser trailer. A guarded Jack Sullivan from the poster comes to life, moving with subtle cinematic motion. They pause under a lamppost as Vivienne Cross emerges from shadows. The background glints with wet pavement and neon reflections. The camera tracks past a puddle reflection to reveal Vivienne. The mood is seductive danger. Text: “The Truth Never Sleeps.” in bold noir serif. Title “MIDNIGHT ALLEY” iris-in like classic cinema. Add rain mist, cigarette smoke, monochrome grain."
8,Color Clash,16:9,Complex,"A pop-art ensemble movie teaser trailer. A bold Lana Rivers from the poster comes to life, moving with subtle cinematic motion. They snap into pose as Diego Marlowe and Sophia Grant slide into contrasting color panels. The background shifts in CMYK blocks and halftone dots. The camera graphically match-cuts between panels. The mood is playful and punchy. Text: “Life in Pop Art Motion.” in vivid block letters. Title “COLOR CLASH” bounces in and locks. Add paper texture, ink bleed, confetti sparkles."
9,Cosmic Riffs,16:9,Complex,"A psychedelic concert-movie teaser trailer. A charged Axel Storm from the poster comes to life, moving with subtle cinematic motion. They lead Nova Blaze and Orion Kade on a stage dissolving into a neon galaxy. The background melts into liquid-light starfields. The camera cranes over the band and tilts into the cosmos. The mood is euphoric and surreal. Text: “Music That Shatters the Stars.” in rippled neon script. Title “COSMIC RIFFS” ripples into place. Add prism flares, glitter dust, analog shimmer."
10,Terror From the Swamp,16:9,Complex,"A campy horror B-movie teaser trailer. A terrified Clara Monroe from the poster comes to life, moving with subtle cinematic motion. They run past panicking townsfolk as a swamp behemoth rises. The background boils with lurid green fog and flashing sirens. The camera rushes through reeds in a shaky tracking move. The mood is lurid panic. Text: “No One Escapes the Mire.” in slimy, dripping letters. Title “TERROR FROM THE SWAMP” sloshes into frame. Add film scratches, fog banks, fireflies."
