Sent,Shot,PromptID,Prompt
false,1,1,"9:16 Close-up — Simple: Movie poster for “Starlight Dreams” (1950s Golden Age Hollywood). Close-up of glamorous actress Evelyn Starling with pearls and shimmering gown, golden spotlight on her face, nostalgic cinematic framing. Title typography in elegant serif gold letters, Evelyn’s name aligned at top, tagline: “A Love Written in Stars.” Credits block at bottom, “Coming Soon” below credits. Retro film grain."
false,1,2,"16:9 Wide — Complex: Poster for “Starlight Dreams.” Evelyn Starling with co-star Marcus Kane under glowing theater marquee, paparazzi flashes, 1950s cars parked outside. Title centered at bottom in golden Hollywood style. Tagline across top: “The Golden Age Never Fades.” Evelyn and Marcus names aligned top, billing block + “Coming Soon” at bottom. Warm spotlight."
false,2,1,"9:16 Close-up — Simple: Grindhouse poster for “Blood Streets.” Close-up of rugged anti-hero Rex Callahan, bruised and bleeding, neon red glow on his face. Bold distressed title font in lurid yellow at bottom. Rex’s name at top, tagline: “No Mercy. No Escape.” Billing block bottom. Gritty film grain."
false,2,2,"16:9 Wide — Complex: Exploitation-style poster for “Blood Streets.” Rex Callahan with femme fatale Veronica Blaze beside muscle car under neon lights. Background: graffiti alleys, broken glass. Title large at bottom-center, tagline above: “In This City, Violence Has No Rules.” Rex and Veronica names stacked top, credits block bottom. Lurid neon palette."
false,3,1,"9:16 Close-up — Simple: Neon sci-fi poster “Neon Horizon.” Close-up of Kaelen Voss as cybernetic hero, helmet reflecting glowing gridlines. Title in bold chrome typography at bottom, Kaelen’s name aligned top. Tagline: “The Future is Electric.” Billing block + studio logos at bottom. Neon pink/blue glow."
false,3,2,"16:9 Wide — Complex: Poster for “Neon Horizon.” Kaelen Voss on glowing light bike racing across futuristic cyber city with rival Lyra Korrin chasing. Neon grid buildings, electric trails. Title at bottom in chrome bold, tagline across top: “Racing Against Tomorrow.” Kaelen and Lyra names top aligned, credits block at bottom. Neon sci-fi aesthetic."
false,4,1,"9:16 Close-up — Simple: Bollywood-style poster “Dil Se Pyar.” Painted close-up of romantic couple Arjun Malhotra and Priya Devika in intimate embrace, ornate swirls. Title in bold painted script at bottom. Tagline: “A Love Eternal.” Actor names at top, credits block bottom, warm glowing colors."
false,4,2,"16:9 Wide — Complex: Painted ensemble poster for “Dil Se Pyar.” Arjun Malhotra and Priya Devika dancing before palace backdrop, fireworks in the sky, ornate Bollywood flourishes. Title bold across bottom, tagline above: “Love Beyond All Barriers.” Credits block + studio logos at bottom. Saturated warm palette."
false,5,1,"9:16 Close-up — Simple: Kung fu poster “Fist of Destiny.” Close-up of martial artist Hiro Tanaka in battle stance, sweat and determination in his eyes. Bold brushstroke title at bottom. Hiro’s name aligned top, tagline: “Honor Never Dies.” Billing block bottom. High-contrast reds & yellows."
false,5,2,"16:9 Wide — Complex: Poster for “Fist of Destiny.” Hiro Tanaka dueling rival Wei Zhang in temple courtyard with hanging lanterns. Title in brushstroke font at bottom, tagline across top: “One Fight, One Destiny.” Hiro and Wei names aligned top, credits block bottom. Martial arts retro palette."
false,6,1,"9:16 Close-up — Simple: Spaghetti Western poster “High Noon Revenge.” Close-up of gunslinger Cole Maddox, weathered face, hand hovering over revolver. Sepia desert glow. Title in cracked serif font at bottom. Cole’s name aligned top, tagline: “A Reckoning at Sundown.” Billing block bottom."
false,6,2,"16:9 Wide — Complex: Poster for “High Noon Revenge.” Cole Maddox facing outlaw Silas Boone in dusty frontier town street, tumbleweeds rolling. Title bold at bottom, tagline across top: “Only One Will Walk Away.” Cole and Silas names aligned top, credits block bottom. Cinematic sepia tones."
false,7,1,"9:16 Close-up — Simple: Noir poster “Midnight Alley.” Close-up of trench-coated detective Jack Sullivan, cigarette ember lighting his face in shadows. Title in bold noir serif at bottom. Jack’s name aligned top, tagline: “Every Secret Has a Price.” Billing block bottom. Smoky chiaroscuro."
