Seq,Characters Present,Key Visual Description (with Poster Title),Lighting & Mood,Shot A (9:16 Close-up),Shot B (16:9 Wide shot)
1,"Glamorous starlet, leading man",“Starlight Dreams” – 1950s Golden Age Hollywood poster,"Soft golden spotlight, romantic & nostalgic",Starlet’s glowing face with pearls,Theater entrance marquee glowing with both leads
2,"Anti-hero, femme fatale",“Blood Streets” – 1970s grindhouse exploitation,"Harsh neon-reds, sweaty grit",Close-up of bruised anti-hero face,Neon-lit street fight with femme fatale by muscle car
3,Cyborg hero,“Neon Horizon” – 1980s neon sci-fi (Tron-style),Electric neon blues & pinks,Helmet close-up reflecting gridlines,Hero racing light bike through cyber city
4,"Bollywood stars, dancers",“Dil Se Pyar” – Retro hand-painted Bollywood,Saturated warm tones,Romantic painted close-up of hero & heroine,Palace dance scene with fireworks
5,"Kung fu master, rival",“Fist of Destiny” – Vintage martial arts kung fu,High-contrast reds & yellows,Determined warrior eyes close-up,Temple courtyard duel with rivals
6,"Gunslinger, outlaw",“High Noon Revenge” – Classic Spaghetti Western,"Sepia, sun-baked grit",Hand on revolver close-up,Frontier duel wide shot
7,"Detective, femme fatale",“Midnight Alley” – 1940s noir detective,Smoky chiaroscuro,Detective’s cigarette-lit face,"Rainy alley, femme fatale under lamppost"
8,Abstract actors,“Color Clash” – Pop art Warhol-inspired,"Flat, playful",Halftone close-up in neon magenta,Ensemble lineup in contrasting color panels
9,"Rock band, surreal figures",“Cosmic Riffs” – Psychedelic 1960s concert hybrid,Kaleidoscopic neon,Band member’s fractal face,Band floating in cosmic swirl stage
10,"Scream queen, monster",“Terror From the Swamp” – Vintage horror B-movie,Lurid greens & purples,Close-up scream queen,Monster towering over town square
11,Superhero team,“Eternal Guardians” – Marvel-style superhero,"Bright, epic tones",Hero close-up glowing with power,Team assembled against apocalyptic backdrop
12,Dark vigilante,“Shadows of Vengeance” – DC gritty poster,"Stark, high-contrast",Close-up brooding vigilante,Rooftop cityscape under storm clouds
13,"Jedi-like hero, villain",“Starbound Legacy” – Star Wars-inspired space opera,Celestial glow,Lightsaber duel close-up,Vast star fleet battle scene
14,"Street racers, crew",“Turbo Fury” – Fast & Furious action,Neon + chrome shine,Close-up of driver’s intense stare,Street race with cars leaping mid-air
15,Animated kids cast,“Wonderville” – Disney/Pixar animated film,"Bright, whimsical",Cute character smiling close-up,Magical town full of life
16,Comedic family,“Happy Chaos” – DreamWorks whimsical,"Playful, colorful",Goofy protagonist expression,Family in slapstick action adventure
17,Spy agent,“License to Thrill” – James Bond spy thriller,"Sleek, classy",Close-up with gun & tuxedo,Casino + car chase backdrop
18,Assassin,“The Last Mark” – John Wick minimalist,"Cold, neon noir",Assassin’s eyes in darkness,Wide hall shootout
19,Secret agents,“Shadow Protocol” – Mission Impossible action,"Slick, tense",Ethan-like spy mask reflection,Helicopter + skyscraper stunt
20,Alien-human hybrid,“Lumina” – Avatar bioluminescent fantasy,Glowing neon jungle,Close-up of glowing alien eyes,Wide bioluminescent forest with creatures
21,Abstract silhouette,“Less is More” – Minimalist flat design,"Clean, muted",Profile close-up in flat color,Wide negative space silhouette
22,Dreamlike figures,“Eternal Mirage” – Surrealist Dali-inspired,Dreamlike warm haze,Melting face close-up,Desert with distorted giant clock
23,Human portrait blend,“Through the Veil” – Double exposure artistic,Ethereal layering,Close-up with forest overlay,Wide portrait blending city skyline
24,Cyberpunk youth,“Lost in Signal” – Vaporwave cyber aesthetic,Neon pink-blue haze,Character face lit by CRT glow,Wide digital city with VHS glitches
25,Horror victim,“Broken Code” – Glitch art digital horror,Distorted static,Distorted screaming close-up,Haunted glitching room scene
